iter	MultiClass
0	2.033320013
1	1.91407168
2	1.819955085
3	1.740984738
4	1.672335928
5	1.616475069
6	1.561970437
7	1.516316741
8	1.474060706
9	1.435933974
10	1.403993262
11	1.372115442
12	1.344893059
13	1.316519824
14	1.291709198
15	1.269050941
16	1.245907066
17	1.226522455
18	1.206792634
19	1.189396126
20	1.170837262
21	1.154904515
22	1.139555617
23	1.125303331
24	1.112744674
25	1.101767487
26	1.090805967
27	1.077917221
28	1.067026778
29	1.056649274
30	1.04793255
31	1.037646288
32	1.027407957
33	1.01920101
34	1.01128097
35	1.003800886
36	0.9953263958
37	0.9869256911
38	0.9783318635
39	0.9714321822
40	0.9639521397
41	0.958264577
42	0.9542368576
43	0.9475247598
44	0.9415108029
45	0.9372641191
46	0.9320125768
47	0.9276169967
48	0.9228777622
49	0.9175879647
50	0.9121275364
51	0.9076396555
52	0.9030542333
53	0.8991766395
54	0.8952827162
55	0.8917150186
56	0.8885875
57	0.8860850976
58	0.8829447417
59	0.8793797001
60	0.8767391082
61	0.8739239078
62	0.8713713945
63	0.8693047987
64	0.8656364745
65	0.8629514471
66	0.8604116206
67	0.8576886691
68	0.8546197086
69	0.851798334
70	0.8491684714
71	0.8473942475
72	0.845258094
73	0.8426797749
74	0.8405283881
75	0.8384968996
76	0.8371388862
77	0.8356089158
78	0.8331074614
79	0.8312213038
80	0.8293188496
81	0.8276355393
82	0.8260301258
83	0.8243715851
84	0.8226599315
85	0.821312372
86	0.8197567965
87	0.8185213281
88	0.8176327408
89	0.8160239745
90	0.8140425712
91	0.8125920551
92	0.8110428675
93	0.8102062676
94	0.8090050612
95	0.807999914
96	0.8066908648
97	0.804913505
98	0.8043928793
99	0.8031418505
100	0.8016082403
101	0.8007064002
102	0.7998978912
103	0.7987288483
104	0.7972840501
105	0.7964685194
106	0.7952961709
107	0.7942468922
108	0.7930439965
109	0.7920720159
110	0.7909018063
111	0.7901866737
112	0.789398083
113	0.7887041955
114	0.7876683301
115	0.7865951005
116	0.7859108799
117	0.7852895404
118	0.7841827149
119	0.7833733377
120	0.7828184061
121	0.7820623401
122	0.7813309943
123	0.7802632195
124	0.7795113799
125	0.7790299711
126	0.7777512781
127	0.7772185146
128	0.7765368672
129	0.7757599497
130	0.775308168
131	0.7745770735
132	0.7741673007
133	0.7736794755
134	0.7728562991
135	0.7718056573
136	0.7712266261
137	0.7704258459
138	0.7696560283
139	0.7690572498
140	0.7687328375
141	0.7681981411
142	0.7671645057
143	0.7665611247
144	0.7660300165
145	0.7653968971
146	0.7648271191
147	0.7643886699
148	0.763314883
149	0.7628626006
150	0.7625673827
151	0.7616767716
152	0.7610108183
153	0.7598347904
154	0.7590121887
155	0.7586230702
