iter	MultiClass
156	0.7582199771
157	0.757786926
158	0.7573052034
159	0.7567233185
160	0.7562675704
161	0.7559782248
162	0.7556552398
163	0.7552160829
164	0.7546928251
165	0.754260744
166	0.7538965254
167	0.753400239
168	0.7527012423
169	0.7520474045
170	0.7517010241
171	0.7512692515
172	0.7510412885
173	0.7507614528
174	0.75027921
175	0.7498384865
176	0.7489005369
177	0.7481931252
178	0.7478438178
179	0.7471899101
180	0.746672158
181	0.7463596827
182	0.7461892954
183	0.7459559397
184	0.7450429892
185	0.7443666313
186	0.7438845224
187	0.7435911881
188	0.742739128
189	0.7424226575
190	0.7420480089
191	0.7416919155
192	0.7407639198
193	0.7406473314
194	0.7399231203
195	0.7391722162
196	0.7388342276
197	0.7386623515
198	0.73791635
199	0.7372582735
200	0.7367460665
201	0.7364607062
202	0.7362924074
203	0.7360471342
204	0.7356088222
205	0.7353642495
206	0.7348325766
207	0.7344598642
208	0.7340734938
209	0.7338596398
210	0.7332046366
211	0.7330075172
212	0.7326044615
213	0.732468822
214	0.7322056948
215	0.7318647369
216	0.7317288283
217	0.7313940332
218	0.7311423978
219	0.7309911516
220	0.7302469212
221	0.7300403473
222	0.7296448373
223	0.729325315
224	0.7285613626
225	0.728087988
226	0.727639098
227	0.7271436116
228	0.7264452878
229	0.7262034912
230	0.7257294051
231	0.7255533188
232	0.725227723
233	0.7250701352
234	0.7246812219
235	0.7242633973
236	0.7239081476
237	0.7232193133
238	0.7229360639
239	0.7227449764
240	0.7225750762
241	0.7218469948
242	0.7216264197
243	0.72127905
244	0.7210508855
245	0.7208639332
246	0.7203737243
247	0.7199918256
248	0.719542509
249	0.719197926
250	0.718973503
251	0.7184842126
252	0.7176498083
253	0.7174450411
254	0.7173281861
255	0.7170310259
256	0.7167409481
257	0.716584684
258	0.7161507817
259	0.7159223822
260	0.7155871052
261	0.7153029724
262	0.7149611303
263	0.7146114871
264	0.7143172774
265	0.7141006928
266	0.7137364045
267	0.7132893027
268	0.7131469031
269	0.7126927262
270	0.7123706648
271	0.7118844433
272	0.7111549063
273	0.7107940527
274	0.7104928557
275	0.7102359245
276	0.7100371059
277	0.7098121569
278	0.7094160435
279	0.7091196204
280	0.7089508918
281	0.7086864337
282	0.708552703
283	0.7084115337
284	0.7081901314
285	0.7080703767
286	0.7078655086
287	0.7076805939
288	0.7070632263
289	0.7068474262
290	0.7063941728
291	0.7062449489
292	0.7059307525
293	0.7057946225
294	0.7054890675
295	0.7053030471
296	0.7050374084
297	0.7047598324
298	0.704523791
299	0.7042373681
300	0.7039989412
301	0.7038238531
302	0.7036527519
303	0.7034604119
304	0.7032659057
305	0.7030476957
306	0.7028356264
307	0.7025993736
308	0.7024730165
309	0.7022593675
310	0.702072541
311	0.7019388832
312	0.7018025438
313	0.7016306758
314	0.7014859943
315	0.7012590916
316	0.7008547408
317	0.7006970435
318	0.7004709845
319	0.700364143
320	0.7002915786
321	0.7000620827
322	0.6999891043
323	0.6998028302
324	0.6996952519
325	0.699289091
326	0.6991078061
327	0.6989844289
328	0.6985913335
329	0.6984833542
330	0.6983563225
331	0.6981596929
332	0.6979752533
333	0.697602228
334	0.6975172427
335	0.6973163241
336	0.6970056592
337	0.6968207156
338	0.6966996703
339	0.6963398082
340	0.6961187851
341	0.695892041
342	0.6956410722
343	0.6954827014
344	0.6953008357
345	0.6947663569
346	0.6943100382
347	0.6941375921
348	0.6937084487
349	0.69348972
350	0.6931290735
351	0.6930010562
352	0.6928861182
353	0.692775793
354	0.6927212145
355	0.692555812
356	0.6924221177
357	0.692299106
358	0.6921591372
359	0.6918535365
360	0.6917902415
361	0.6915959162
362	0.691521511
363	0.6914202984
364	0.6913046804
365	0.6910572328
366	0.6908903503
367	0.6902992017
368	0.6901244244
369	0.689990086
370	0.6898250448
371	0.6896036362
372	0.6894651303
373	0.6893757678
374	0.6891174571
375	0.6890041352
376	0.6888269502
377	0.6886872145
378	0.688494636
379	0.6883348633
380	0.6881396929
381	0.6879839689
382	0.6878758863
383	0.6877825799
384	0.687623443
385	0.6875123266
386	0.687381807
387	0.6872804974
388	0.6870424977
389	0.6869181728
390	0.6867835252
391	0.6866496774
392	0.6865631322
393	0.6864995443
394	0.6863356559
395	0.6861685492
396	0.6860555715
397	0.6859143582
398	0.6855480374
399	0.685430687
